swifttrack-core  | 
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.sendAndReceive(WebServiceTemplate.java:539) ~[spring-ws-core-4.0.10.jar!/:na]
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.doSendAndReceive(WebServiceTemplate.java:493) ~[spring-ws-core-4.0.10.jar!/:na]
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.sendSourceAndReceive(WebServiceTemplate.java:484) ~[spring-ws-core-4.0.10.jar!/:na]
swifttrack-core  | 	at org.springframework.ws.client.core.WebServiceTemplate.sendSourceAndReceive(WebServiceTemplate.java:470) ~[spring-ws-core-4.0.10.jar!/:na]
swifttrack-core  | 	at lk.swiftlogistics.swifttrack.integrations.CmsSoapClient.createOrder(CmsSoapClient.java:26) ~[!/:na]
swifttrack-core  | 	at lk.swiftlogistics.swifttrack.orchestrator.SagaService.process(SagaService.java:45) ~[!/:na]
swifttrack-core  | 	at lk.swiftlogistics.swifttrack.orchestrator.OrchestratorListener.onMessage(OrchestratorListener.java:20) ~[!/:na]
swifttrack-core  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:na]
swifttrack-core  | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(Unknown Source) ~[na:na]
swifttrack-core  | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source) ~[na:na]
swifttrack-core  | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source) ~[na:na]
swifttrack-core  | 	at org.springframework.messaging.handler.invocation.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:169) ~[spring-messaging-6.1.6.jar!/:6.1.6]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.adapter.KotlinAwareInvocableHandlerMethod.doInvoke(KotlinAwareInvocableHandlerMethod.java:45) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.messaging.handler.invocation.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:119) ~[spring-messaging-6.1.6.jar!/:6.1.6]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.adapter.HandlerAdapter.invoke(HandlerAdapter.java:75) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.adapter.MessagingMessageListenerAdapter.invokeHandler(MessagingMessageListenerAdapter.java:278) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.adapter.MessagingMessageListenerAdapter.invokeHandlerAndProcessResult(MessagingMessageListenerAdapter.java:225) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.adapter.MessagingMessageListenerAdapter.onMessage(MessagingMessageListenerAdapter.java:149) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:1682) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.actualInvokeListener(AbstractMessageListenerContainer.java:1604) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:1592) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:1583) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.executeListenerAndHandleException(AbstractMessageListenerContainer.java:1528) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.lambda$executeListener$8(AbstractMessageListenerContainer.java:1506) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at io.micrometer.observation.Observation.observe(Observation.java:499) ~[micrometer-observation-1.12.5.jar!/:1.12.5]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.AbstractMessageListenerContainer.executeListener(AbstractMessageListenerContainer.java:1506) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer.doReceiveAndExecute(SimpleMessageListenerContainer.java:1082) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer.receiveAndExecute(SimpleMessageListenerContainer.java:1018) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer$AsyncMessageProcessingConsumer.mainLoop(SimpleMessageListenerContainer.java:1420) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at org.springframework.amqp.rabbit.listener.SimpleMessageListenerContainer$AsyncMessageProcessingConsumer.run(SimpleMessageListenerContainer.java:1322) ~[spring-rabbit-3.1.4.jar!/:3.1.4]
swifttrack-core  | 	at java.base/java.lang.Thread.run(Unknown Source) ~[na:na]
swifttrack-core  | 
